,,,JOJUTLA,15.78,17.54,16.7,
,,,PUENTE DE IXTLA,15.78,17.54,16.7,
,,,TLALTIZAPAN DE ZAPATA,15.78,17.54,16.7,
,,,HUITZILAC,15.78,17.54,16.7,
,,,ZACATEPEC,15.78,17.54,16.7,
,,,MIACATLAN,15.78,17.54,16.7,
,,,TEPOZTLAN,15.78,17.54,16.7,
,,,XOCHITEPEC,15.78,17.54,16.7,
,,,CUERNAVACA,15.78,17.54,16.7,
,,,EMILIANO ZAPATA,15.78,17.54,16.7,
,,,TEMIXCO,15.78,17.54,16.7,
,,,JIUTEPEC,15.78,17.54,16.7,
13.0,CULIACAN,SINALOA,CULIACAN,16.09,17.85,17.04,
,,,NAVOLATO,16.09,17.85,17.04,
14.0,DURANGO,DURANGO,NUEVO IDEAL,16.12,17.87,16.97,
,,,SANTIAGO PAPASQUIARO,16.12,17.87,16.97,
,,,SAN JUAN DEL RIO,16.12,17.87,16.97,
,,,PUEBLO NUEVO,16.12,17.87,16.97,
,,,SUCHIL,16.12,17.87,16.97,
,,,MEZQUITAL,16.12,17.87,16.97,
,,,VICENTE GUERRERO,16.12,17.87,16.97,
,,,POANAS,16.12,17.87,16.97,
,,,GUADALUPE VICTORIA,16.12,17.87,16.97,
,,,NOMBRE DE DIOS,16.12,17.87,16.97,
,,,CANATLAN,16.12,17.87,16.97,
,,,PANUCO DE CORONADO,16.12,17.87,16.97,
,,,TOPIA,16.12,17.87,16.97,
,,,DURANGO,16.12,17.87,16.97,
15.0,EL CASTILLO,JALISCO,TUXCUECA,16.29,18.22,16.95,
,,,ACATIC,16.29,18.22,16.95,
,,,TEPATITLAN DE MORELOS,16.29,18.22,16.95,
,,,OCOTLAN,16.29,18.22,16.95,
,,,TOTOTLAN,16.29,18.22,16.95,
,,,ZAPOTLAN DEL REY,16.29,18.22,16.95,
,,,JOCOTEPEC,16.29,18.22,16.95,
,,,ZACOALCO DE TORRES,16.29,18.22,16.95,
,,,PONCITLAN,16.29,18.22,16.95,
,,,ZAPOTLANEJO,16.29,18.22,16.95,
,,,CHAPALA,16.29,18.22,16.95,
,,,ZAPOPAN,16.29,18.22,16.95,
,,,JUANACATLAN,16.29,18.22,16.95,
,,,IXTLAHUACAN DE LOS MEMBRILLOS,16.29,18.22,16.95,
,,,EL SALTO,16.29,18.22,16.95,
17.0,ESCAMELA,VERACRUZ DE IGNACIO DE LA LLAVE,CUITLAHUAC,15.47,17.23,16.39,
,,,ZONGOLICA,15.47,17.23,16.39,
,,,CHOCAMAN,15.47,17.23,16.39,
,,,ATOYAC,15.47,17.23,16.39,
,,,SOLEDAD ATZOMPA,15.47,17.23,16.39,
,,,YANGA,15.47,17.23,16.39,
,,,ACULTZINGO,15.47,17.23,16.39,
,,,COSCOMATEPEC,15.47,17.23,16.39,
,,,AMATLAN DE LOS REYES,15.47,17.23,16.39,
,,,TLILAPAN,15.47,17.23,16.39,
,,,CORDOBA,15.47,17.23,16.39,
,,,NOGALES,15.47,17.23,16.39,
,,,ORIZABA,15.47,17.23,16.39,
,,,CAMERINO Z MENDOZA,15.47,17.23,16.39,
,,,FORTIN,15.47,17.23,16.39,
,,,HUILOAPAN DE CUAUHTEMOC,15.47,17.23,16.39,
,,,IXHUATLANCILLO,15.47,17.23,16.39,
,,,IXTACZOQUITLAN,15.47,17.23,16.39,
,,,MARIANO ESCOBEDO,15.47,17.23,16.39,
,,,RAFAEL DELGADO,15.47,17.23,16.39,
,,,RIO BLANCO,15.47,17.23,16.39,
18.0,GOMEZ PALACIO,DURANGO,NAZAS,15.98,17.74,16.89,
,,,TLAHUALILO,15.98,17.74,16.89,
,,,LERDO,15.98,17.74,16.89,
,,,GOMEZ PALACIO,15.98,17.74,16.89,
